,instant,season,is_yr_one,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,Categorical_target
11030,11031,2,True,4,18,False,1,True,1,0.54,0.34,0.2985,60,586,646,High demand
2175,2176,2,False,4,12,False,2,True,2,0.34,0.71,0.3881,6,32,38,Medium-Low demand
7240,7241,4,False,11,7,False,4,True,2,0.32,0.81,0.0896,12,280,292,Medium-Low demand
8655,8656,1,True,1,10,False,0,False,1,0.3,0.81,0.1045,18,52,70,Medium-High demand
16545,16546,4,True,11,3,False,2,True,3,0.32,0.7,0.1343,1,3,4,Low demand
13526,13527,3,True,7,19,False,0,False,1,0.72,0.7,0.1642,180,342,522,High demand
13372,13373,3,True,7,9,False,1,True,1,0.76,0.62,0.1642,51,297,348,High demand
10419,10420,1,True,3,6,False,4,True,1,0.44,0.72,0.0896,4,113,117,Low demand
9340,9341,1,True,1,2,False,1,True,1,0.24,0.48,0.3582,1,6,7,Low demand
4678,4679,3,False,7,20,False,1,True,1,0.78,0.59,0.2239,91,232,323,High demand
2701,2702,2,False,4,11,False,3,True,2,0.64,0.78,0.2836,53,103,156,High demand
16772,16773,4,True,12,15,False,4,True,1,0.32,0.39,0.0,38,232,270,Medium-High demand
2026,2027,2,False,3,7,False,3,True,2,0.32,0.45,0.1045,8,128,136,Medium-Low demand
16489,16490,4,True,11,19,False,6,False,1,0.26,0.41,0.2537,9,74,83,Medium-Low demand
4048,4049,3,False,6,14,False,3,True,2,0.82,0.52,0.2836,32,113,145,Medium-High demand
15471,15472,4,True,10,20,False,4,True,1,0.42,0.62,0.1642,27,388,415,Medium-High demand
14678,14679,3,True,9,19,False,6,False,3,0.58,0.88,0.1045,28,187,215,Medium-High demand
1191,1192,1,False,2,16,False,2,True,1,0.22,0.51,0.1642,7,79,86,Medium-Low demand
1779,1780,1,False,3,20,False,6,False,1,0.42,0.35,0.2239,39,69,108,Medium-High demand
6681,6682,4,False,10,23,True,1,False,2,0.54,0.88,0.1045,12,63,75,Medium-Low demand
4325,4326,3,False,7,3,True,1,False,1,0.64,0.78,0.0,13,13,26,Medium-Low demand
7755,7756,4,False,11,18,True,4,False,1,0.42,0.5,0.0896,13,24,37,Medium-Low demand
4528,4529,3,False,7,14,False,2,True,1,0.9,0.42,0.2985,33,91,124,Medium-High demand
5030,5031,3,False,8,12,False,2,True,1,0.86,0.3,0.2836,45,112,157,Medium-High demand
1397,1398,1,False,3,12,False,4,True,1,0.22,0.25,0.1343,7,65,72,Medium-Low demand
15666,15667,4,True,10,23,False,5,True,1,0.46,0.88,0.1045,13,118,131,Medium-Low demand
6791,6792,4,False,10,13,False,6,False,1,0.6,0.35,0.4627,171,223,394,High demand
14132,14133,3,True,8,1,False,5,True,1,0.66,0.65,0.1045,16,38,54,Medium-Low demand
7386,7387,4,False,11,9,False,3,True,1,0.34,0.93,0.0,22,197,219,Medium-High demand
6566,6567,4,False,10,4,False,4,True,1,0.44,0.62,0.2836,0,5,5,Low demand
1974,1975,2,False,3,2,False,1,True,1,0.22,0.44,0.1642,0,5,5,Low demand
13969,13970,3,True,8,6,False,5,True,3,0.64,0.89,0.2985,3,41,44,Low demand
5649,5650,3,False,8,20,False,0,False,1,0.72,0.45,0.1045,64,150,214,High demand
14650,14651,3,True,9,15,False,5,True,1,0.8,0.55,0.2537,66,265,331,High demand
12079,12080,2,True,5,12,False,3,True,2,0.66,0.69,0.0896,42,206,248,Medium-High demand
4485,4486,3,False,7,19,False,0,False,1,0.8,0.49,0.3284,120,183,303,High demand
4161,4162,3,False,6,7,False,1,True,2,0.64,0.73,0.2239,14,247,261,Medium-Low demand
13925,13926,3,True,8,10,False,3,True,2,0.8,0.52,0.1343,63,151,214,High demand
14272,14273,3,True,8,21,False,3,True,1,0.64,0.73,0.0,60,291,351,High demand
11537,11538,2,True,4,22,False,1,True,2,0.52,0.55,0.1642,11,123,134,Medium-Low demand
16435,16436,4,True,11,13,True,4,False,1,0.46,0.31,0.0,125,144,269,High demand
1988,1989,2,False,3,17,False,1,True,1,0.34,0.23,0.2985,25,227,252,Medium-High demand
6104,6105,3,False,9,22,False,5,True,1,0.48,0.67,0.0896,32,135,167,Medium-High demand
3755,3756,2,False,6,9,False,5,True,1,0.76,0.55,0.0,37,176,213,Medium-High demand
6751,6752,4,False,10,21,False,4,True,1,0.62,0.83,0.194,8,115,123,Medium-Low demand
9665,9666,1,True,2,16,False,0,False,1,0.2,0.34,0.4627,16,148,164,Medium-Low demand
9396,9397,1,True,2,10,False,3,True,1,0.4,0.62,0.1343,9,124,133,Medium-Low demand
5703,5704,3,False,8,2,False,3,True,1,0.56,0.73,0.0,1,5,6,Low demand
13793,13794,3,True,8,22,False,4,True,1,0.74,0.7,0.194,35,227,262,Medium-High demand
2903,2904,2,False,5,21,False,4,True,1,0.5,0.36,0.194,39,141,180,Medium-High demand
953,954,1,False,2,8,False,6,False,1,0.14,0.86,0.1343,2,28,30,Low demand
4383,4384,3,False,7,13,False,3,True,2,0.74,0.7,0.1045,33,107,140,Medium-High demand
6320,6321,4,False,9,22,False,0,False,1,0.62,0.88,0.0896,20,84,104,Medium-High demand
16827,16828,4,True,12,22,False,6,False,2,0.38,0.94,0.1045,23,137,160,Medium-High demand
8458,8459,1,False,12,2,False,6,False,2,0.32,0.66,0.0896,4,22,26,Low demand
14014,14015,3,True,8,3,False,0,False,1,0.62,0.73,0.0896,11,37,48,Medium-Low demand
1906,1907,2,False,3,5,False,5,True,1,0.18,0.74,0.1642,0,9,9,Low demand
4078,4079,3,False,6,20,False,4,True,1,0.7,0.74,0.2239,75,277,352,High demand
771,772,1,False,2,14,False,5,True,2,0.28,0.45,0.1642,15,76,91,Medium-Low demand
3942,3943,2,False,6,4,False,6,False,1,0.6,0.88,0.0896,1,4,5,Low demand
13413,13414,3,True,7,2,False,3,True,1,0.74,0.66,0.1343,3,5,8,Low demand
8559,8560,1,False,12,10,False,3,True,1,0.34,0.57,0.2239,12,84,96,Medium-Low demand
14816,14817,3,True,9,13,False,5,True,2,0.7,0.54,0.194,107,301,408,High demand
11897,11898,2,True,5,22,False,2,True,1,0.58,0.78,0.2239,9,74,83,Medium-Low demand
1706,1707,1,False,3,18,False,3,True,2,0.44,0.54,0.2239,26,211,237,Medium-High demand
14518,14519,3,True,9,3,False,0,False,1,0.66,0.89,0.0896,9,33,42,Medium-Low demand
461,462,1,False,1,6,False,5,True,1,0.22,0.55,0.2537,0,27,27,Low demand
16751,16752,4,True,12,18,False,3,True,1,0.42,0.35,0.4478,29,580,609,Medium-High demand
3311,3312,2,False,5,21,False,0,False,1,0.62,0.73,0.194,27,109,136,Medium-High demand
2825,2826,2,False,5,15,False,1,True,1,0.66,0.61,0.194,45,110,155,Medium-High demand
569,570,1,False,1,22,False,2,True,1,0.22,0.64,0.1642,4,49,53,Low demand
7364,7365,4,False,11,11,False,2,True,1,0.46,0.63,0.1343,21,126,147,Medium-High demand
3143,3144,2,False,5,21,False,0,False,1,0.54,0.88,0.0,44,107,151,Medium-High demand
1505,1506,1,False,3,2,False,2,True,1,0.24,0.52,0.1343,1,0,1,Low demand
12964,12965,3,True,6,9,False,5,True,1,0.76,0.55,0.1642,39,261,300,Medium-High demand
14768,14769,3,True,9,13,False,3,True,1,0.7,0.34,0.1343,85,238,323,High demand
7842,7843,4,False,11,10,False,1,True,2,0.48,0.77,0.1343,21,86,107,Medium-High demand
13261,13262,3,True,7,18,False,3,True,1,0.78,0.38,0.2537,79,735,814,High demand
2048,2049,2,False,3,5,False,4,True,3,0.24,0.93,0.2239,0,8,8,Low demand
4392,4393,3,False,7,22,False,3,True,1,0.7,0.79,0.194,30,156,186,Medium-High demand
1183,1184,1,False,2,8,False,2,True,2,0.12,0.8,0.2537,7,107,114,Medium-Low demand
9638,9639,1,True,2,13,False,6,False,2,0.26,0.81,0.2836,18,217,235,Medium-High demand
14682,14683,3,True,9,23,False,6,False,2,0.58,0.73,0.1642,12,121,133,Medium-Low demand
11459,11460,2,True,4,16,False,5,True,1,0.52,0.29,0.2537,105,335,440,High demand
8124,8125,4,False,12,4,False,6,False,2,0.26,0.65,0.1045,0,3,3,Low demand
3803,3804,2,False,6,9,False,0,False,1,0.72,0.66,0.0,75,107,182,High demand
10286,10287,1,True,3,16,False,5,True,1,0.48,0.23,0.4179,51,292,343,High demand
6848,6849,4,False,10,22,False,1,True,1,0.5,0.77,0.0,16,88,104,Medium-Low demand
6788,6789,4,False,10,10,False,6,False,1,0.54,0.45,0.4478,115,207,322,High demand
11908,11909,2,True,5,9,False,3,True,2,0.6,0.78,0.1343,33,314,347,Medium-High demand
12639,12640,2,True,6,20,False,5,True,1,0.68,0.44,0.194,89,296,385,High demand
14993,14994,3,True,9,22,False,5,True,1,0.6,0.73,0.194,47,248,295,Medium-High demand
9458,9459,1,True,2,0,False,6,False,1,0.26,0.7,0.1045,10,76,86,Medium-Low demand
7267,7268,4,False,11,10,False,5,True,2,0.42,0.71,0.3284,19,115,134,Medium-High demand
17122,17123,1,True,12,5,False,5,True,2,0.34,0.76,0.4179,0,13,13,Low demand
8174,8175,4,False,12,6,False,1,True,1,0.16,0.8,0.1045,1,63,64,Low demand
4851,4852,3,False,7,1,False,2,True,1,0.7,0.79,0.1045,6,6,12,Medium-Low demand
3491,3492,2,False,5,9,True,1,False,1,0.72,0.74,0.0896,47,81,128,Medium-High demand
14980,14981,3,True,9,9,False,5,True,1,0.58,0.68,0.1343,35,348,383,Medium-High demand
6952,6953,4,False,10,7,False,6,False,1,0.36,0.76,0.1045,8,49,57,Medium-Low demand
3816,3817,2,False,6,22,False,0,False,1,0.64,0.83,0.1343,31,97,128,Medium-High demand
8059,8060,4,False,12,11,False,3,True,3,0.44,1.0,0.0896,3,47,50,Low demand
13922,13923,3,True,8,7,False,3,True,2,0.7,0.84,0.1642,24,458,482,Medium-High demand
14882,14883,3,True,9,7,False,1,True,1,0.52,0.77,0.0,18,474,492,Medium-High demand
12636,12637,2,True,6,17,False,5,True,1,0.74,0.37,0.2836,125,698,823,High demand
15726,15727,4,True,10,11,False,1,True,1,0.56,0.37,0.1642,63,148,211,High demand
7348,7349,4,False,11,19,False,1,True,1,0.46,0.59,0.0,20,280,300,Medium-High demand
2239,2240,2,False,4,4,False,5,True,2,0.34,0.86,0.1343,0,1,1,Low demand
14062,14063,3,True,8,3,False,2,True,2,0.68,0.83,0.194,0,3,3,Low demand
9247,9248,1,True,1,5,False,4,True,2,0.3,0.75,0.1045,0,28,28,Low demand
17061,17062,4,True,12,16,False,2,True,1,0.44,0.41,0.4627,40,323,363,Medium-High demand
13055,13056,3,True,7,4,False,2,True,1,0.68,0.65,0.1045,0,6,6,Low demand
11992,11993,2,True,5,21,False,6,False,1,0.64,0.5,0.0,81,178,259,High demand
4134,4135,3,False,6,4,False,0,False,1,0.6,0.64,0.0896,3,8,11,Low demand
3229,3230,2,False,5,11,False,4,True,3,0.54,0.88,0.1642,53,111,164,High demand
3639,3640,2,False,6,13,False,0,False,1,0.66,0.65,0.1045,154,213,367,High demand
4942,4943,3,False,7,20,False,5,True,1,0.86,0.41,0.3284,53,153,206,High demand
14514,14515,3,True,9,23,False,6,False,1,0.66,0.89,0.0896,57,88,145,High demand
13179,13180,3,True,7,8,False,0,False,1,0.84,0.53,0.1343,35,95,130,Medium-High demand
7295,7296,4,False,11,14,False,6,False,1,0.42,0.35,0.1343,159,227,386,High demand
7877,7878,4,False,11,21,False,2,True,2,0.38,0.87,0.2537,9,116,125,Medium-Low demand
4087,4088,3,False,6,5,False,5,True,1,0.64,0.89,0.0896,2,18,20,Low demand
4880,4881,3,False,7,6,False,3,True,1,0.7,0.54,0.2239,4,119,123,Low demand
6015,6016,3,False,9,5,False,2,True,1,0.56,0.88,0.0,1,19,20,Low demand
10037,10038,1,True,2,6,False,2,True,1,0.3,0.45,0.3284,1,100,101,Low demand
7224,7225,4,False,11,15,False,3,True,1,0.48,0.51,0.1642,26,161,187,Medium-High demand
7769,7770,4,False,11,8,False,5,True,1,0.26,0.81,0.1343,6,68,74,Medium-Low demand
13894,13895,3,True,8,3,False,2,True,1,0.7,0.84,0.0,0,6,6,Low demand
16619,16620,4,True,11,6,False,5,True,1,0.2,0.86,0.0,2,104,106,Low demand
3361,3362,2,False,5,23,False,2,True,3,0.66,0.74,0.1642,13,53,66,Medium-Low demand
8509,8510,1,False,12,7,True,1,False,1,0.32,0.45,0.194,2,17,19,Low demand
16504,16505,4,True,11,10,False,0,False,1,0.24,0.48,0.2537,15,124,139,Medium-Low demand
13864,13865,3,True,8,21,False,0,False,1,0.72,0.79,0.1045,51,157,208,High demand
13754,13755,3,True,8,7,False,3,True,2,0.64,0.83,0.1343,19,468,487,Medium-High demand
8086,8087,4,False,12,14,False,4,True,1,0.32,0.45,0.2537,16,121,137,Medium-Low demand
87,88,1,False,1,19,False,2,True,1,0.24,0.48,0.1045,2,110,112,Low demand
7979,7980,4,False,12,3,False,0,False,1,0.28,0.75,0.0,7,34,41,Medium-Low demand
4657,4658,3,False,7,23,False,0,False,1,0.7,0.74,0.1343,39,54,93,Medium-High demand
9653,9654,1,True,2,4,False,0,False,2,0.1,0.46,0.7164,0,1,1,Low demand
12498,12499,2,True,6,23,False,6,False,1,0.68,0.61,0.1642,69,161,230,High demand
9793,9794,1,True,2,0,False,6,False,1,0.34,0.42,0.1642,5,81,86,Medium-Low demand
5660,5661,3,False,8,7,False,1,True,1,0.6,0.6,0.2239,11,273,284,Medium-Low demand
14113,14114,3,True,8,6,False,4,True,1,0.6,0.78,0.1642,3,162,165,Low demand
4856,4857,3,False,7,6,False,2,True,1,0.68,0.83,0.2239,2,108,110,Low demand
4954,4955,3,False,7,8,False,6,False,1,0.78,0.59,0.2239,27,87,114,Medium-High demand
6879,6880,4,False,10,6,False,3,True,3,0.52,0.83,0.2537,3,28,31,Low demand
8044,8045,4,False,12,20,False,2,True,3,0.46,1.0,0.2985,3,107,110,Low demand
16046,16047,4,True,11,7,False,2,True,1,0.2,0.69,0.1642,9,378,387,Medium-Low demand
15088,15089,4,True,9,21,False,2,True,1,0.6,0.56,0.2985,34,263,297,Medium-High demand
10199,10200,1,True,3,1,False,2,True,1,0.2,0.44,0.2537,0,6,6,Low demand
1356,1357,1,False,3,19,False,2,True,1,0.3,0.49,0.1343,4,115,119,Low demand
12897,12898,3,True,6,14,False,2,True,1,0.7,0.3,0.4627,81,186,267,High demand
5968,5969,3,False,9,5,False,0,False,1,0.6,0.83,0.1343,15,24,39,Medium-Low demand
14593,14594,3,True,9,6,False,3,True,1,0.7,0.79,0.2836,7,203,210,Medium-Low demand
504,505,1,False,1,2,False,0,False,1,0.02,0.62,0.1343,3,15,18,Low demand
9757,9758,1,True,2,12,False,4,True,3,0.32,0.76,0.0896,1,44,45,Low demand
10758,10759,2,True,3,9,False,4,True,1,0.48,0.48,0.4179,22,299,321,Medium-High demand
14797,14798,3,True,9,18,False,4,True,1,0.68,0.57,0.2537,108,744,852,High demand
14435,14436,3,True,8,16,False,3,True,1,0.76,0.37,0.1343,104,389,493,High demand
2455,2456,2,False,4,5,False,0,False,1,0.36,0.71,0.1642,2,1,3,Low demand
2633,2634,2,False,4,15,False,0,False,1,0.66,0.61,0.2537,167,202,369,High demand
7557,7558,4,False,11,12,False,3,True,3,0.46,1.0,0.0,5,49,54,Medium-Low demand
12798,12799,3,True,6,11,False,5,True,1,0.8,0.49,0.1642,76,160,236,High demand
11596,11597,2,True,5,9,False,4,True,2,0.48,0.88,0.1045,25,279,304,Medium-High demand
16260,16261,4,True,11,6,False,4,True,2,0.3,0.65,0.2537,1,146,147,Low demand
17212,17213,1,True,12,0,True,2,False,3,0.24,0.93,0.0896,3,10,13,Low demand
11069,11070,2,True,4,10,False,3,True,2,0.34,0.49,0.3284,26,127,153,Medium-High demand
7685,7686,4,False,11,20,False,1,True,3,0.4,0.87,0.2239,5,75,80,Medium-Low demand
2044,2045,2,False,3,1,False,4,True,3,0.24,0.93,0.194,1,4,5,Low demand
15868,15869,4,True,10,9,False,0,False,2,0.5,0.55,0.4179,124,206,330,High demand
16100,16101,4,True,11,14,False,4,True,1,0.44,0.18,0.4179,33,149,182,Medium-High demand
13839,13840,3,True,8,20,False,6,False,1,0.82,0.52,0.2985,117,195,312,High demand
13281,13282,3,True,7,14,False,4,True,1,0.78,0.33,0.2239,42,167,209,Medium-High demand
5849,5850,3,False,9,5,False,2,True,3,0.54,0.88,0.3582,1,20,21,Low demand
3609,3610,2,False,6,7,False,6,False,1,0.56,0.56,0.0,27,60,87,Medium-High demand
889,890,1,False,2,13,False,3,True,1,0.18,0.4,0.2537,2,67,69,Low demand
16301,16302,4,True,11,23,False,5,True,1,0.32,0.53,0.2239,14,114,128,Medium-Low demand
14940,14941,3,True,9,17,False,3,True,1,0.6,0.38,0.2239,74,812,886,High demand
5246,5247,3,False,8,12,False,4,True,1,0.78,0.31,0.2537,50,164,214,High demand
987,988,1,False,2,19,False,0,False,1,0.4,0.35,0.2836,11,50,61,Medium-Low demand
16137,16138,4,True,11,3,False,6,False,1,0.3,0.81,0.0,9,11,20,Medium-Low demand
1873,1874,2,False,3,20,False,3,True,3,0.36,0.87,0.6418,3,72,75,Low demand
7411,7412,4,False,11,10,False,4,True,2,0.44,0.88,0.2239,17,100,117,Medium-Low demand
12882,12883,3,True,6,23,False,1,True,1,0.64,0.33,0.3284,15,88,103,Medium-Low demand
980,981,1,False,2,12,False,0,False,1,0.36,0.32,0.4627,58,94,152,High demand
15470,15471,4,True,10,19,False,4,True,1,0.44,0.51,0.1343,81,662,743,High demand
11275,11276,2,True,4,0,False,5,True,1,0.48,0.67,0.1045,5,59,64,Medium-Low demand
3281,3282,2,False,5,15,False,6,False,1,0.72,0.45,0.2537,232,274,506,High demand
3952,3953,2,False,6,14,False,6,False,2,0.8,0.46,0.2836,138,196,334,High demand
11752,11753,2,True,5,21,False,3,True,3,0.5,0.82,0.1642,4,30,34,Low demand
13790,13791,3,True,8,19,False,4,True,1,0.8,0.63,0.1642,98,509,607,High demand
7317,7318,4,False,11,12,False,0,False,1,0.44,0.54,0.0,120,226,346,High demand
4236,4237,3,False,6,10,False,4,True,1,0.72,0.42,0.194,35,97,132,Medium-High demand
4709,4710,3,False,7,3,False,3,True,1,0.7,0.84,0.1045,2,4,6,Low demand
11910,11911,2,True,5,11,False,3,True,1,0.7,0.54,0.1343,55,212,267,High demand
14954,14955,3,True,9,7,False,4,True,1,0.46,0.82,0.1045,20,514,534,Medium-High demand
13430,13431,3,True,7,19,False,3,True,2,0.76,0.62,0.1045,78,438,516,High demand
3905,3906,2,False,6,15,False,4,True,2,0.7,0.61,0.2985,32,127,159,Medium-High demand
11820,11821,2,True,5,17,False,6,False,2,0.66,0.36,0.194,233,343,576,High demand
6966,6967,4,False,10,21,False,6,False,1,0.4,0.76,0.0,37,120,157,Medium-High demand
5286,5287,3,False,8,4,False,6,False,2,0.64,0.73,0.1343,5,5,10,Medium-Low demand
8031,8032,4,False,12,7,False,2,True,2,0.46,0.94,0.194,7,227,234,Medium-Low demand
11608,11609,2,True,5,21,False,4,True,1,0.62,0.78,0.1343,42,257,299,Medium-High demand
40,41,1,False,1,17,False,0,False,1,0.34,0.57,0.194,7,58,65,Medium-Low demand
3426,3427,2,False,5,16,False,5,True,2,0.76,0.55,0.3881,63,356,419,High demand
3604,3605,2,False,6,2,False,6,False,1,0.54,0.56,0.194,18,41,59,Medium-High demand
14804,14805,3,True,9,1,False,5,True,1,0.56,0.73,0.0896,6,35,41,Medium-Low demand
12236,12237,2,True,5,1,False,3,True,3,0.64,0.89,0.194,0,4,4,Low demand
10631,10632,2,True,3,2,False,6,False,1,0.54,0.77,0.1045,14,55,69,Medium-Low demand
3062,3063,2,False,5,12,False,4,True,1,0.58,0.6,0.2239,43,164,207,Medium-High demand
6823,6824,4,False,10,21,False,0,False,1,0.54,0.52,0.3881,14,88,102,Medium-Low demand
16544,16545,4,True,11,2,False,2,True,2,0.32,0.7,0.1642,0,5,5,Low demand
13157,13158,3,True,7,10,False,6,False,1,0.92,0.37,0.2239,100,225,325,High demand
1510,1511,1,False,3,7,False,2,True,1,0.18,0.64,0.1343,9,119,128,Medium-Low demand
13697,13698,3,True,7,22,False,0,False,1,0.7,0.7,0.1045,31,117,148,Medium-High demand
5159,5160,3,False,8,21,False,0,False,1,0.72,0.84,0.1045,36,100,136,Medium-High demand
11549,11550,2,True,5,10,False,2,True,1,0.62,0.78,0.2537,30,144,174,Medium-High demand
2586,2587,2,False,4,16,False,5,True,3,0.34,0.87,0.1343,4,58,62,Low demand
7402,7403,4,False,11,1,False,4,True,2,0.4,0.87,0.0,1,10,11,Low demand
16871,16872,4,True,12,18,False,1,True,2,0.46,0.88,0.2836,20,544,564,Medium-High demand
7218,7219,4,False,11,9,False,3,True,1,0.34,0.87,0.0,15,213,228,Medium-Low demand
11693,11694,2,True,5,10,False,1,True,2,0.52,0.77,0.194,62,128,190,High demand
14602,14603,3,True,9,15,False,3,True,1,0.78,0.7,0.194,41,204,245,Medium-High demand
12008,12009,2,True,5,13,False,0,False,1,0.7,0.37,0.2836,244,363,607,High demand
623,624,1,False,1,6,False,6,False,1,0.16,0.64,0.1343,0,2,2,Low demand
10592,10593,2,True,3,11,False,4,True,2,0.52,0.94,0.0,53,166,219,High demand
9280,9281,1,True,1,14,False,5,True,1,0.5,0.55,0.5522,23,153,176,Medium-High demand
4884,4885,3,False,7,10,False,3,True,1,0.78,0.33,0.0,32,82,114,Medium-High demand
6623,6624,4,False,10,13,False,6,False,1,0.62,0.46,0.1045,256,229,485,High demand
16629,16630,4,True,11,16,False,5,True,1,0.4,0.43,0.1343,37,368,405,Medium-High demand
4301,4302,3,False,7,3,False,0,False,3,0.68,0.65,0.0896,8,25,33,Medium-Low demand
7327,7328,4,False,11,22,False,0,False,1,0.36,0.87,0.0,5,40,45,Medium-Low demand
12073,12074,2,True,5,6,False,3,True,1,0.56,0.88,0.1045,6,154,160,Medium-Low demand
2682,2683,2,False,4,16,False,2,True,1,0.7,0.58,0.3881,40,251,291,Medium-High demand
11053,11054,2,True,4,17,False,2,True,1,0.56,0.21,0.5224,88,656,744,High demand
9867,9868,1,True,2,4,False,2,True,1,0.22,0.64,0.0,0,2,2,Low demand
6602,6603,4,False,10,16,False,5,True,1,0.64,0.44,0.0,73,346,419,High demand
15016,15017,3,True,9,21,False,6,False,1,0.64,0.57,0.2537,59,202,261,High demand
5515,5516,3,False,8,17,False,1,True,1,0.74,0.27,0.3284,82,509,591,High demand
14404,14405,3,True,8,9,False,2,True,2,0.7,0.79,0.1642,44,351,395,Medium-High demand
6355,6356,4,False,9,9,False,2,True,3,0.64,0.89,0.194,20,173,193,Medium-High demand
9881,9882,1,True,2,18,False,2,True,1,0.38,0.4,0.4478,11,414,425,Medium-Low demand
2095,2096,2,False,4,4,False,6,False,1,0.24,0.7,0.1642,0,5,5,Low demand
8666,8667,1,True,1,21,False,0,False,2,0.44,0.67,0.2537,10,61,71,Medium-Low demand
8611,8612,1,False,12,14,False,5,True,2,0.4,0.47,0.0896,67,178,245,High demand
16822,16823,4,True,12,17,False,6,False,1,0.38,0.87,0.1343,77,268,345,High demand
1292,1293,1,False,2,0,False,0,False,1,0.26,0.87,0.2836,8,26,34,Medium-Low demand
8681,8682,1,True,1,13,True,1,False,1,0.3,0.36,0.2985,26,150,176,Medium-High demand
5697,5698,3,False,8,20,False,2,True,1,0.66,0.5,0.0,39,259,298,Medium-High demand
4505,4506,3,False,7,15,False,1,True,1,0.86,0.56,0.4179,38,108,146,Medium-High demand
11413,11414,2,True,4,18,False,3,True,1,0.6,0.2,0.2836,60,649,709,High demand
12160,12161,2,True,5,21,False,6,False,2,0.72,0.62,0.194,100,151,251,High demand
821,822,1,False,2,16,False,0,False,1,0.34,0.49,0.1045,42,115,157,Medium-High demand
12277,12278,2,True,5,18,False,4,True,1,0.74,0.3,0.194,85,700,785,High demand
15716,15717,4,True,10,1,False,1,True,1,0.4,0.71,0.0,0,11,11,Low demand
14443,14444,3,True,8,0,False,4,True,1,0.64,0.69,0.0,14,51,65,Medium-Low demand
11342,11343,2,True,4,19,False,0,False,3,0.36,0.87,0.5224,1,34,35,Low demand
14359,14360,3,True,8,12,False,0,False,3,0.72,0.74,0.3582,225,401,626,High demand
8466,8467,1,False,12,10,False,6,False,1,0.3,0.42,0.4925,4,52,56,Low demand
11965,11966,2,True,5,18,False,5,True,1,0.64,0.38,0.2239,99,570,669,High demand
3377,3378,2,False,5,15,False,3,True,1,0.76,0.52,0.2537,37,145,182,Medium-High demand
15079,15080,4,True,9,12,False,2,True,1,0.62,0.43,0.2836,69,233,302,High demand
5676,5677,3,False,8,23,False,1,True,1,0.6,0.6,0.0896,19,56,75,Medium-High demand
13245,13246,3,True,7,2,False,3,True,1,0.64,0.89,0.0,0,5,5,Low demand
16442,16443,4,True,11,20,True,4,False,1,0.34,0.71,0.0,15,37,52,Medium-Low demand
7244,7245,4,False,11,11,False,4,True,1,0.44,0.67,0.194,12,108,120,Medium-Low demand
4841,4842,3,False,7,15,False,1,True,1,0.7,0.84,0.3881,16,96,112,Medium-Low demand
14656,14657,3,True,9,21,False,5,True,1,0.7,0.74,0.1642,55,246,301,High demand
17042,17043,4,True,12,21,False,1,True,2,0.42,0.94,0.1343,6,114,120,Medium-Low demand
2964,2965,2,False,5,10,False,0,False,1,0.58,0.49,0.1343,91,153,244,High demand
7096,7097,4,False,10,7,False,5,True,1,0.28,0.65,0.2537,6,199,205,Medium-Low demand
17123,17124,1,True,12,6,False,5,True,2,0.34,0.57,0.5821,4,76,80,Low demand
11655,11656,2,True,5,20,False,6,False,1,0.6,0.78,0.2537,100,209,309,High demand
807,808,1,False,2,2,False,0,False,1,0.26,0.6,0.3284,0,20,20,Low demand
10911,10912,2,True,4,19,False,3,True,1,0.66,0.39,0.2239,75,419,494,High demand
4124,4125,3,False,6,18,False,6,False,1,0.72,0.45,0.2537,108,199,307,High demand
8130,8131,4,False,12,10,False,6,False,1,0.32,0.57,0.2537,31,161,192,Medium-High demand
2832,2833,2,False,5,22,False,1,True,2,0.6,0.73,0.0,28,97,125,Medium-High demand
15854,15855,4,True,10,19,False,6,False,2,0.52,0.72,0.2239,67,233,300,High demand
